etablissement_id,site_web,adresse,nb_etudiants,url_logo,url_image
0921595J,http://www.lyc-balavoine-boiscolombes.ac-versailles.fr/,7 rue Marceau Delorme 92270 Bois-Colombes,340,,
0921595J,http://www.lyc-balavoine-boiscolombes.ac-versailles.fr/,7 rue Marceau Delorme 92270 Bois-Colombes,367,,
0595856V,https://lp-de-lyser-wormhout.59.ac-lille.fr,18 bis route d'Esquelbecq BP 31 59726 Wormhout,224,,
0595856V,https://lp-de-lyser-wormhout.59.ac-lille.fr,18 bis route d'Esquelbecq BP 31 59726 Wormhout,240,,
0950656X,http://www.lyc-lecorbusier-cormeilles.ac-versailles.fr,2 rue Paul Bloch 95240 Cormeilles-en-Parisis,462,,
0950656X,http://www.lyc-lecorbusier-cormeilles.ac-versailles.fr,2 rue Paul Bloch 95240 Cormeilles-en-Parisis,466,,
0922443F,https://lycee-marey-boulogne.fr/,154 rue de Silly 92100 Boulogne-Billancourt,561,,
0922443F,https://lycee-marey-boulogne.fr/,154 rue de Silly 92100 Boulogne-Billancourt,600,,
0620120U,https://lgt-anatole-france-lillers.62.ac-lille.fr,64 boulevard de Paris BP 49 62190 Lillers,644,,
0620120U,https://lgt-anatole-france-lillers.62.ac-lille.fr,64 boulevard de Paris BP 49 62190 Lillers,660,,
0753605L,http://ead.iptheologie.fr/en/,,,,
0753619B,https://intec.cnam.fr/,,,,
0681888H,http://www.lyceeameliezurcher.net,30 rue Jean Mermoz BP 4 68310 Wittelsheim,689,,
0681888H,http://www.lyceeameliezurcher.net,30 rue Jean Mermoz BP 4 68310 Wittelsheim,697,,
0690173N,https://sciencespo-lyon.fr,,1354,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1370,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1492,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1504,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1516,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1531,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
0690173N,https://sciencespo-lyon.fr,,1540,,http://commons.wikimedia.org/wiki/Special:FilePath/Centre%20Berthelot%20Lyon.jpg
